id,c1,c2,c3
0,a,a,A
1,a,A,A
2,a,i,e
3,a,I,e
4,a,u,o
5,a,U,o
6,a,q,ar
7,a,q,a q
8,a,Q,ar
9,a,L,al
10,a,L,a L
11,a,e,E
12,a,E,E
13,a,o,O
14,a,O,O
15,a,k,ak
16,a,K,aK
17,a,g,ag
18,a,G,aG
19,a,f,af
20,a,c,ac
21,a,C,acC
22,a,j,aj
23,a,J,aJ
24,a,F,aF
25,a,t,at
26,a,T,aT
27,a,d,ad
28,a,D,aD
29,a,N,aN
30,a,w,aw
31,a,W,aW
32,a,x,ax
33,a,X,aX
34,a,n,an
35,a,p,ap
36,a,P,aP
37,a,b,ab
38,a,B,aB
39,a,m,am
40,a,y,ay
41,a,r,ar
42,a,l,al
43,a,v,av
44,a,S,aS
45,a,R,aR
46,a,s,as
47,a,h,ah
48,A,a,A
49,A,A,A
50,A,i,e
51,A,I,e
52,A,u,o
53,A,U,o
54,A,q,ar
55,A,q,a q
56,A,Q,ar
57,A,L,al
58,A,L,A L
59,A,e,E
60,A,E,E
61,A,o,O
62,A,O,O
63,A,k,Ak
64,A,K,AK
65,A,g,Ag
66,A,G,AG
67,A,f,Af
68,A,c,Ac
69,A,C,AC
70,A,C,AcC
71,A,j,Aj
72,A,J,AJ
73,A,F,AF
74,A,t,At
75,A,T,AT
76,A,d,Ad
77,A,D,AD
78,A,N,AN
79,A,w,Aw
80,A,W,AW
81,A,x,Ax
82,A,X,AX
83,A,n,An
84,A,p,Ap
85,A,P,AP
86,A,b,Ab
87,A,B,AB
88,A,m,Am
89,A,y,Ay
90,A,r,Ar
91,A,l,Al
92,A,v,Av
93,A,S,AS
94,A,R,AR
95,A,s,As
96,A,h,Ah
97,i,a,ya
98,i,A,yA
99,i,i,I
100,i,I,I
101,i,u,yu
102,i,U,yU
103,i,q,yq
104,i,q,i q
105,i,Q,yQ
106,i,L,yL
107,i,L,i L
108,i,e,ye
109,i,E,yE
110,i,o,yo
111,i,O,yO
112,i,k,ik
113,i,K,iK
114,i,g,ig
115,i,G,iG
116,i,f,if
117,i,c,ic
118,i,C,icC
119,i,j,ij
120,i,J,iJ
121,i,F,iF
122,i,t,it
123,i,T,iT
124,i,d,id
125,i,D,iD
126,i,N,iN
127,i,w,iw
128,i,W,iW
129,i,x,ix
130,i,X,iX
131,i,n,in
132,i,p,ip
133,i,P,iP
134,i,b,ib
135,i,B,iB
136,i,m,im
137,i,y,iy
138,i,r,ir
139,i,l,il
140,i,v,iv
141,i,S,iS
142,i,R,iR
143,i,s,is
144,i,h,ih
145,I,a,ya
146,I,a,i a
147,I,A,yA
148,I,A,i A
149,I,i,I
150,I,I,I
151,I,u,yu
152,I,u,i u
153,I,U,yU
154,I,U,i U
155,I,q,yq
156,I,q,i q
157,I,Q,yQ
158,I,Q,i Q
159,I,L,yL
160,I,L,i L
161,I,e,ye
162,I,e,i e
163,I,E,yE
164,I,E,i E
165,I,o,yo
166,I,o,i o
167,I,O,yO
168,I,O,i O
169,I,k,Ik
170,I,K,IK
171,I,g,Ig
172,I,G,IG
173,I,f,If
174,I,c,Ic
175,I,C,IcC
176,I,C,IC
177,I,j,Ij
178,I,J,IJ
179,I,F,IF
180,I,t,It
181,I,T,IT
182,I,d,Id
183,I,D,ID
184,I,N,IN
185,I,w,Iw
186,I,W,IW
187,I,x,Ix
188,I,X,IX
189,I,n,In
190,I,p,Ip
191,I,P,IP
192,I,b,Ib
193,I,B,IB
194,I,m,Im
195,I,y,Iy
196,I,r,Ir
197,I,l,Il
198,I,v,Iv
199,I,S,IS
200,I,R,IR
201,I,s,Is
202,I,h,Ih
203,u,a,va
204,u,A,vA
205,u,i,vi
206,u,I,vI
207,u,u,U
208,u,U,U
209,u,q,vq
210,u,q,u q
211,u,Q,vQ
212,u,L,vL
213,u,L,u L
214,u,e,ve
215,u,E,vE
216,u,o,vo
217,u,O,vO
218,u,k,uk
219,u,K,uK
220,u,g,ug
221,u,G,uG
222,u,f,uf
223,u,c,uc
224,u,C,ucC
225,u,j,uj
226,u,J,uJ
227,u,F,uF
228,u,t,ut
229,u,T,uT
230,u,d,ud
231,u,D,uD
232,u,N,uN
233,u,w,uw
234,u,W,uW
235,u,x,ux
236,u,X,uX
237,u,n,un
238,u,p,up
239,u,P,uP
240,u,b,ub
241,u,B,uB
242,u,m,um
243,u,y,uy
244,u,r,ur
245,u,l,ul
246,u,v,uv
247,u,S,uS
248,u,R,uR
249,u,s,us
250,u,h,uh
251,U,a,va
252,U,a,u a
253,U,A,vA
254,U,A,u A
255,U,i,vi
256,U,i,u i
257,U,I,vI
258,U,I,u I
259,U,u,U
260,U,U,U
261,U,q,vq
262,U,q,u q
263,U,Q,vQ
264,U,Q,u Q
265,U,L,vL
266,U,L,u L
267,U,e,ve
268,U,e,u e
269,U,E,vE
270,U,E,u E
271,U,o,vo
272,U,o,u o
273,U,O,vO
274,U,O,u O
275,U,k,Uk
276,U,K,UK
277,U,g,Ug
278,U,G,UG
279,U,f,Uf
280,U,c,Uc
281,U,C,UcC
282,U,C,UC
283,U,j,Uj
284,U,J,UJ
285,U,F,UF
286,U,t,Ut
287,U,T,UT
288,U,d,Ud
289,U,D,UD
290,U,N,UN
291,U,w,Uw
292,U,W,UW
293,U,x,Ux
294,U,X,UX
295,U,n,Un
296,U,p,Up
297,U,P,UP
298,U,b,Ub
299,U,B,UB
300,U,m,Um
301,U,y,Uy
302,U,r,Ur
303,U,l,Ul
304,U,v,Uv
305,U,S,US
306,U,R,UR
307,U,s,Us
308,U,h,Uh
309,q,a,ra
310,q,A,rA
311,q,i,ri
312,q,I,rI
313,q,u,ru
314,q,U,rU
315,q,q,q
316,q,q,Q
317,q,q,q q
318,q,Q,Q
319,q,L,L
320,q,L,Q
321,q,L,q L
322,q,e,re
323,q,E,rE
324,q,o,ro
325,q,O,rO
326,q,k,qk
327,q,K,qK
328,q,g,qg
329,q,G,qG
330,q,f,qf
331,q,c,qc
332,q,C,qcC
333,q,j,qj
334,q,J,qJ
335,q,F,qF
336,q,t,qt
337,q,T,qT
338,q,d,qd
339,q,D,qD
340,q,N,qN
341,q,w,qw
342,q,W,qW
343,q,x,qx
344,q,X,qX
345,q,n,qn
346,q,p,qp
347,q,P,qP
348,q,b,qb
349,q,B,qB
350,q,m,qm
351,q,y,qy
352,q,r,qr
353,q,l,ql
354,q,v,qv
355,q,S,qS
356,q,R,qR
357,q,s,qs
358,q,h,qh
359,Q,a,ra
360,Q,a,q a
361,Q,A,rA
362,Q,A,q A
363,Q,i,ri
364,Q,i,q i
365,Q,I,rI
366,Q,I,q I
367,Q,u,ru
368,Q,u,q u
369,Q,U,rU
370,Q,U,q U
371,Q,q,Q
372,Q,q,q
373,Q,q,q q
374,Q,Q,Q
375,Q,L,Q
376,Q,L,q L
377,Q,L,L
378,Q,e,re
379,Q,e,q e
380,Q,E,rE
381,Q,E,q E
382,Q,o,ro
383,Q,o,q o
384,Q,O,rO
385,Q,O,q O
386,Q,k,Qk
387,Q,K,QK
388,Q,g,Qg
389,Q,G,QG
390,Q,f,Qf
391,Q,c,Qc
392,Q,C,QcC
393,Q,C,QC
394,Q,j,Qj
395,Q,J,QJ
396,Q,F,QF
397,Q,t,Qt
398,Q,T,QT
399,Q,d,Qd
400,Q,D,QD
401,Q,N,QN
402,Q,w,Qw
403,Q,W,QW
404,Q,x,Qx
405,Q,X,QX
406,Q,n,Qn
407,Q,p,Qp
408,Q,P,QP
409,Q,b,Qb
410,Q,B,QB
411,Q,m,Qm
412,Q,y,Qy
413,Q,r,Qr
414,Q,l,Ql
415,Q,v,Qv
416,Q,S,QS
417,Q,R,QR
418,Q,s,Qs
419,Q,h,Qh
420,L,a,la
421,L,A,lA
422,L,i,li
423,L,I,lI
424,L,u,lu
425,L,U,lU
426,L,q,q
427,L,q,Q
428,L,q,L q
429,L,Q,Q
430,L,L,L
431,L,L,Q
432,L,L,L L
433,L,e,le
434,L,E,lE
435,L,o,lo
436,L,O,lO
437,L,k,Lk
438,L,K,LK
439,L,g,Lg
440,L,G,LG
441,L,f,Lf
442,L,c,Lc
443,L,C,LcC
444,L,j,Lj
445,L,J,LJ
446,L,F,LF
447,L,t,Lt
448,L,T,LT
449,L,d,Ld
450,L,D,LD
451,L,N,LN
452,L,w,Lw
453,L,W,LW
454,L,x,Lx
455,L,X,LX
456,L,n,Ln
457,L,p,Lp
458,L,P,LP
459,L,b,Lb
460,L,B,LB
461,L,m,Lm
462,L,y,Ly
463,L,r,Lr
464,L,l,Ll
465,L,v,Lv
466,L,S,LS
467,L,R,LR
468,L,s,Ls
469,L,h,Lh
470,e,a,eZ
471,e,A,ayA
472,e,A,a A
473,e,i,ayi
474,e,i,a i
475,e,I,ayI
476,e,I,a I
477,e,u,ayu
478,e,u,a u
479,e,U,ayU
480,e,U,a U
481,e,q,ayq
482,e,q,a q
483,e,Q,ayQ
484,e,Q,a Q
485,e,L,ayL
486,e,L,a L
487,e,e,aye
488,e,e,a e
489,e,E,ayE
490,e,E,a E
491,e,o,ayo
492,e,o,a o
493,e,O,ayO
494,e,O,a O
495,e,k,ek
496,e,K,eK
497,e,g,eg
498,e,G,eG
499,e,f,ef
500,e,c,ec
501,e,C,ecC
502,e,C,eC
503,e,j,ej
504,e,J,eJ
505,e,F,eF
506,e,t,et
507,e,T,eT
508,e,d,ed
509,e,D,eD
510,e,N,eN
511,e,w,ew
512,e,W,eW
513,e,x,ex
514,e,X,eX
515,e,n,en
516,e,p,ep
517,e,P,eP
518,e,b,eb
519,e,B,eB
